=== OVS Snapshot: pre_tcp @ 2026-04-19T21:52:24,876893178-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=130.051s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.106,nw_dst=10.0.1.104,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:66->eth_dst,output:16
 cookie=0x0, duration=130.051s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=16,nw_src=10.0.1.104,nw_dst=10.0.0.106,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:6a->eth_dst,output:6
 cookie=0x0, duration=130.051s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.42,nw_dst=10.0.1.40,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:26->eth_dst,output:14
 cookie=0x0, duration=130.051s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.40,nw_dst=10.0.0.42,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:2a->eth_dst,output:3
 cookie=0x0, duration=130.051s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.103,nw_dst=10.0.1.101,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:63->eth_dst,output:16
 cookie=0x0, duration=130.051s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=16,nw_src=10.0.1.101,nw_dst=10.0.0.103,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:67->eth_dst,output:6
 cookie=0x0, duration=130.050s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.36,nw_dst=10.0.1.34,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:20->eth_dst,output:13
 cookie=0x0, duration=130.050s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.34,nw_dst=10.0.0.36,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:24->eth_dst,output:3
 cookie=0x0, duration=130.037s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.110,nw_dst=10.0.1.108,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:6a->eth_dst,output:17
 cookie=0x0, duration=130.036s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=17,nw_src=10.0.1.108,nw_dst=10.0.0.110,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:6e->eth_dst,output:6
 cookie=0x0, duration=130.036s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=9,nw_src=10.0.0.177,nw_dst=10.0.1.175,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:ad->eth_dst,output:19
 cookie=0x0, duration=130.036s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=19,nw_src=10.0.1.175,nw_dst=10.0.0.177,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:b1->eth_dst,output:9
 cookie=0x0, duration=130.036s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.111,nw_dst=10.0.1.109,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:6b->eth_dst,output:17
 cookie=0x0, duration=130.036s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=17,nw_src=10.0.1.109,nw_dst=10.0.0.111,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:6f->eth_dst,output:6
 cookie=0x0, duration=130.023s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=4,nw_src=10.0.0.55,nw_dst=10.0.1.53,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:33->eth_dst,output:14
 cookie=0x0, duration=130.023s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.53,nw_dst=10.0.0.55,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:37->eth_dst,output:4
 cookie=0x0, duration=130.023s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.26,nw_dst=10.0.1.24,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:16->eth_dst,output:13
 cookie=0x0, duration=130.023s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.24,nw_dst=10.0.0.26,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:1a->eth_dst,output:3
 cookie=0x0, duration=130.023s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.108,nw_dst=10.0.1.106,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:68->eth_dst,output:16
 cookie=0x0, duration=130.022s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=9,nw_src=10.0.0.172,nw_dst=10.0.1.170,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:a8->eth_dst,output:19
 cookie=0x0, duration=130.022s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=19,nw_src=10.0.1.170,nw_dst=10.0.0.172,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:ac->eth_dst,output:9
 cookie=0x0, duration=130.010s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=9,nw_src=10.0.0.191,nw_dst=10.0.1.189,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:bb->eth_dst,output:20
 cookie=0x0, duration=130.010s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=20,nw_src=10.0.1.189,nw_dst=10.0.0.191,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:bf->eth_dst,output:9
 cookie=0x0, duration=129.997s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.46,nw_dst=10.0.1.44,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:2a->eth_dst,output:14
 cookie=0x0, duration=129.997s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.44,nw_dst=10.0.0.46,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:2e->eth_dst,output:3
 cookie=0x0, duration=129.997s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=7,nw_src=10.0.0.121,nw_dst=10.0.1.119,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:75->eth_dst,output:17
 cookie=0x0, duration=129.997s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=17,nw_src=10.0.1.119,nw_dst=10.0.0.121,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:79->eth_dst,output:7
 cookie=0x0, duration=129.997s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=6,nw_src=10.0.0.97,nw_dst=10.0.1.95,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:5d->eth_dst,output:16
 cookie=0x0, duration=129.997s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=16,nw_src=10.0.1.95,nw_dst=10.0.0.97,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:61->eth_dst,output:6
 cookie=0x0, duration=129.997s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=9,nw_src=10.0.0.182,nw_dst=10.0.1.180,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:b2->eth_dst,output:20
 cookie=0x0, duration=129.997s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=20,nw_src=10.0.1.180,nw_dst=10.0.0.182,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:b6->eth_dst,output:9
