=== OVS Snapshot: mid_udp @ 2026-04-19T22:28:46,658485623-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x0, duration=60.372s, table=0, n_packets=539, n_bytes=814968, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.91,nw_dst=10.0.1.89,tp_src=51126,tp_dst=5001 actions=set_field:00:00:00:00:01:57->eth_dst,output:16
 cookie=0x0, duration=60.356s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.92,nw_dst=10.0.1.90,tp_src=35199,tp_dst=5001 actions=set_field:00:00:00:00:01:58->eth_dst,output:16
 cookie=0x0, duration=60.339s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.93,nw_dst=10.0.1.91,tp_src=46206,tp_dst=5001 actions=set_field:00:00:00:00:01:59->eth_dst,output:16
 cookie=0x0, duration=60.320s, table=0, n_packets=541, n_bytes=817992, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.63,nw_dst=10.0.1.61,tp_src=49129,tp_dst=5001 actions=set_field:00:00:00:00:01:3b->eth_dst,output:15
 cookie=0x0, duration=60.301s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.94,nw_dst=10.0.1.92,tp_src=60695,tp_dst=5001 actions=set_field:00:00:00:00:01:5a->eth_dst,output:16
 cookie=0x0, duration=60.301s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.95,nw_dst=10.0.1.93,tp_src=37873,tp_dst=5001 actions=set_field:00:00:00:00:01:5b->eth_dst,output:16
 cookie=0x0, duration=60.267s, table=0, n_packets=541, n_bytes=817992, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.65,nw_dst=10.0.1.63,tp_src=34460,tp_dst=5001 actions=set_field:00:00:00:00:01:3d->eth_dst,output:15
 cookie=0x0, duration=60.267s, table=0, n_packets=541, n_bytes=817992, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.66,nw_dst=10.0.1.64,tp_src=33540,tp_dst=5001 actions=set_field:00:00:00:00:01:3e->eth_dst,output:15
 cookie=0x0, duration=60.230s, table=0, n_packets=541, n_bytes=817992, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.67,nw_dst=10.0.1.65,tp_src=57876,tp_dst=5001 actions=set_field:00:00:00:00:01:3f->eth_dst,output:15
 cookie=0x0, duration=60.230s, table=0, n_packets=541, n_bytes=817992, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.68,nw_dst=10.0.1.66,tp_src=51770,tp_dst=5001 actions=set_field:00:00:00:00:01:40->eth_dst,output:15
 cookie=0x0, duration=60.193s, table=0, n_packets=541, n_bytes=817992, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.69,nw_dst=10.0.1.67,tp_src=44826,tp_dst=5001 actions=set_field:00:00:00:00:01:41->eth_dst,output:15
 cookie=0x0, duration=60.179s, table=0, n_packets=541, n_bytes=817992, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.70,nw_dst=10.0.1.68,tp_src=57611,tp_dst=5001 actions=set_field:00:00:00:00:01:42->eth_dst,output:15
 cookie=0x0, duration=60.139s, table=0, n_packets=541, n_bytes=817992, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.71,nw_dst=10.0.1.69,tp_src=50551,tp_dst=5001 actions=set_field:00:00:00:00:01:43->eth_dst,output:15
 cookie=0x0, duration=60.126s, table=0, n_packets=538, n_bytes=813456, idle_timeout=15, priority=100,udp,in_port=5,nw_src=10.0.0.96,nw_dst=10.0.1.94,tp_src=36539,tp_dst=5001 actions=set_field:00:00:00:00:01:5c->eth_dst,output:16
 cookie=0x0, duration=60.125s, table=0, n_packets=540, n_bytes=816480, idle_timeout=15, priority=100,udp,in_port=4,nw_src=10.0.0.72,nw_dst=10.0.1.70,tp_src=40443,tp_dst=5001 actions=set_field:00:00:00:00:01:44->eth_dst,output:15
