=== UDP Jitter + Packet Loss Summary ===
Topology           : Large (~500+ hosts, 48-port switches)
Pairs available    : 252
Pairs tested       : 252
Rate per pair      : 100K
Aggregate offered  : see per-pair rate
Duration           : 120s

Pair                           Jitter(ms)   Loss(lost/total)   Delivery Status         
h184->h436                     11.703       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h185->h437                     14.168       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h186->h438                     12.726       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h187->h439                     15.376       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h188->h440                     14.449       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h189->h441                     15.737       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h190->h442                     13.413       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h191->h443                     12.485       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h192->h444                     12.304       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h193->h445                     12.664       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h194->h446                     10.853       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h195->h447                     13.515       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h196->h448                     12.377       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h197->h449                     14.637       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h198->h450                     13.496       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h199->h451                     15.006       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h200->h452                     13.386       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h201->h453                     12.334       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h202->h454                     11.551       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h203->h455                     11.275       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h204->h456                     10.459       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h205->h457                     12.995       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h206->h458                     12.276       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h207->h459                     13.700       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h208->h460                     13.165       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h209->h461                     14.264       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h210->h462                     13.309       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h211->h463                     12.216       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h212->h464                     11.075       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h213->h465                     11.300       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h214->h466                     9.950        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h215->h467                     12.333       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h216->h468                     11.732       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h217->h469                     12.668       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h218->h470                     12.545       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h219->h471                     13.415       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h220->h472                     12.418       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h221->h473                     11.407       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h222->h474                     10.331       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h223->h475                     10.243       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h224->h476                     9.494        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h225->h477                     9.048        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h226->h478                     11.317       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h227->h479                     9.902        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h228->h480                     11.914       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h229->h481                     12.621       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h230->h482                     11.547       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h231->h483                     10.653       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h232->h484                     9.946        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h233->h485                     10.003       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h234->h486                     9.542        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h235->h487                     8.623        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h236->h488                     10.588       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h237->h489                     10.290       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h238->h490                     11.285       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h239->h491                     11.171       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h240->h492                     11.192       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h241->h493                     10.336       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h242->h494                     9.427        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h243->h495                     9.447        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h244->h496                     9.080        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h245->h497                     8.358        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h246->h498                     9.836        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h247->h499                     9.034        0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h248->h500                     10.773       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h249->h501                     10.578       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h250->h502                     10.883       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h251->h503                     10.535       0/1045             SERVER_SUMMARY_OK+ACK_MISSED
h252->h504                     9.238        0/1045             SERVER_SUMMARY_OK+ACK_MISSED

Server-summary successes : 252 / 252
Parsed jitter values     : 252 / 252
Parsed loss values       : 252 / 252
No server summary        : 0
No summary at all        : 0
Client error pairs       : 0
Ack-missed notes         : 252

Mean jitter         : 15.867516 ms
Mean loss           : 0.000000 %

Interpretation:
  - SERVER_SUMMARY_OK : server received enough traffic to produce final UDP summary
  - NO_SERVER_SUMMARY : client ran, but server did not produce final summary
  - NO_SUMMARY        : neither side produced final summary
  - CLIENT_ERROR      : connect/route/failure text found in client log
  - ACK_MISSED        : client missed iperf's final UDP ack; informational only
