=== OVS Snapshot: pre_tcp @ 2026-04-20T00:11:30,742472463-07:00 ===
--- agg1 ---
OFPST_FLOW reply (OF1.3) (xid=0x2): flags=[more]
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.14,nw_dst=10.0.1.12,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:0a->eth_dst,output:13
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.12,nw_dst=10.0.0.14,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:0e->eth_dst,output:2
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.18,nw_dst=10.0.1.16,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:0e->eth_dst,output:13
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.16,nw_dst=10.0.0.18,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:12->eth_dst,output:2
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.19,nw_dst=10.0.1.17,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:0f->eth_dst,output:13
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.17,nw_dst=10.0.0.19,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:13->eth_dst,output:2
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=2,nw_src=10.0.0.24,nw_dst=10.0.1.22,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:14->eth_dst,output:13
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=13,nw_src=10.0.1.22,nw_dst=10.0.0.24,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:18->eth_dst,output:2
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.47,nw_dst=10.0.1.45,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:2b->eth_dst,output:14
 cookie=0x0, duration=131.782s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.45,nw_dst=10.0.0.47,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:2f->eth_dst,output:3
 cookie=0x0, duration=131.772s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=3,nw_src=10.0.0.38,nw_dst=10.0.1.36,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:22->eth_dst,output:14
 cookie=0x0, duration=131.772s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=14,nw_src=10.0.1.36,nw_dst=10.0.0.38,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:26->eth_dst,output:3
 cookie=0x0, duration=131.761s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.73,nw_dst=10.0.1.71,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:45->eth_dst,output:15
 cookie=0x0, duration=131.761s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.71,nw_dst=10.0.0.73,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:49->eth_dst,output:5
 cookie=0x0, duration=131.761s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.79,nw_dst=10.0.1.77,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:4b->eth_dst,output:15
 cookie=0x0, duration=131.761s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.77,nw_dst=10.0.0.79,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:4f->eth_dst,output:5
 cookie=0x0, duration=131.761s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.76,nw_dst=10.0.1.74,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:48->eth_dst,output:15
 cookie=0x0, duration=131.760s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.74,nw_dst=10.0.0.76,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:4c->eth_dst,output:5
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.77,nw_dst=10.0.1.75,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:49->eth_dst,output:15
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.75,nw_dst=10.0.0.77,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:4d->eth_dst,output:5
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.74,nw_dst=10.0.1.72,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:46->eth_dst,output:15
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.72,nw_dst=10.0.0.74,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:4a->eth_dst,output:5
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.81,nw_dst=10.0.1.79,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:4d->eth_dst,output:15
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.79,nw_dst=10.0.0.81,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:51->eth_dst,output:5
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.85,nw_dst=10.0.1.83,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:51->eth_dst,output:16
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=16,nw_src=10.0.1.83,nw_dst=10.0.0.85,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:55->eth_dst,output:5
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.82,nw_dst=10.0.1.80,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:4e->eth_dst,output:15
 cookie=0x0, duration=131.750s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=15,nw_src=10.0.1.80,nw_dst=10.0.0.82,icmp_type=0,icmp_code=0 actions=set_field:00:00:00:00:00:52->eth_dst,output:5
 cookie=0x0, duration=131.741s, table=0, n_packets=600, n_bytes=58800, idle_timeout=15, priority=100,icmp,in_port=5,nw_src=10.0.0.89,nw_dst=10.0.1.87,icmp_type=8,icmp_code=0 actions=set_field:00:00:00:00:01:55->eth_dst,output:16
